bio10_5,bio10_prMay,lat,lon,lambda,N
-1.244254856,-0.309135563,2982880.134,2003535.591,0.781714343,0
-1.122885509,-1.480441602,2982880.134,2006535.591,0.78214263,0
-1.122879582,-0.996126673,2982880.134,2009535.591,0.781733418,0
-1.123603379,-0.96348746,2982880.134,2012535.591,0.781729747,0
-1.559463435,0.211611624,2982880.134,2015535.591,0.781714287,0
-1.324079558,-1.287828447,2982880.134,2018535.591,0.781731803,0
-1.195161996,-1.703424784,2982880.134,2021535.591,0.78253089,0
-0.977977449,-2.324778245,2982880.134,2024535.591,0.838183188,0
-0.980932841,-1.940532427,2982880.134,2027535.591,0.794661766,0
-0.919407856,-1.852244151,2982880.134,2039535.591,0.795382994,0
-0.930558868,-1.745160669,2982880.134,2042535.591,0.791329281,0
-1.104879495,-1.510125269,2982880.134,2045535.591,0.782256732,0
-1.280981309,-1.067054047,2982880.134,2048535.591,0.781720517,0
-1.402962673,-0.824552297,2982880.134,2051535.591,0.781714628,0
-1.211569147,-1.762834105,2982880.134,2054535.591,0.78270021,0
-1.08719006,-1.697704576,2982880.134,2057535.591,0.78356814,0
-1.069799227,-1.767145147,2982880.134,2060535.591,0.785105586,22
-0.869606975,-1.993062196,2982880.134,2063535.591,0.815505667,81
-1.039516762,-0.909864362,2982880.134,2066535.591,0.781739134,34
-1.016477675,-1.287455972,2982880.134,2069535.591,0.782073959,0
-0.89243235,-1.922694319,2982880.134,2072535.591,0.806482943,0
-0.890322129,-1.546982426,2982880.134,2075535.591,0.786012131,0
-0.872939833,-1.462300201,2982880.134,2078535.591,0.785085993,1
-0.858993301,-1.480949178,2982880.134,2081535.591,0.785550097,0
-1.087048785,-0.161966669,2982880.134,2084535.591,0.781714378,0
-1.061669455,-1.086148863,2982880.134,2087535.591,0.781775977,0
-1.041929002,-0.896072059,2982880.134,2090535.591,0.78173759,0
-0.898929999,-1.791158481,2982880.134,2093535.591,0.794461999,0
-0.983100585,-0.782785107,2982880.134,2096535.591,0.781733946,0
-1.073722115,-0.595911428,2982880.134,2099535.591,0.781716469,0
-0.985060442,-1.093721761,2982880.134,2102535.591,0.781858779,0
-1.003274333,-0.868618924,2982880.134,2105535.591,0.78174251,0
-1.008788944,-0.590195144,2982880.134,2108535.591,0.781717944,0
-1.017600054,-0.549390799,2982880.134,2111535.591,0.781716799,0
-1.065049907,-0.099965434,2982880.134,2114535.591,0.781714364,0
-1.078517376,-0.2715176,2982880.134,2117535.591,0.781714498,0
-1.073466633,-0.205643544,2982880.134,2120535.591,0.781714438,0
-1.041050252,-0.435639521,2982880.134,2123535.591,0.781715269,0
-1.202864844,-2.075095111,2979880.134,1997535.591,0.787089694,0
-1.030242954,-2.106871234,2979880.134,2000535.591,0.802426528,0
-1.076894131,-1.286052181,2979880.134,2003535.591,0.781901011,0
-1.100592163,-1.236389163,2979880.134,2006535.591,0.781828766,0
-0.928703711,-1.865390634,2979880.134,2009535.591,0.797258934,0
-0.87575987,-2.019506727,2979880.134,2012535.591,0.821971729,0
-1.22503283,-0.499417358,2979880.134,2015535.591,0.78171451,0
-1.366766868,-0.299925411,2979880.134,2018535.591,0.781714305,0
-1.502029779,-0.133471882,2979880.134,2021535.591,0.781714289,0
-1.420906337,-0.93276048,2979880.134,2024535.591,0.781714913,0
-1.058001491,-1.938768957,2979880.134,2027535.591,0.790963801,0
-1.085465843,-1.623276585,2979880.134,2030535.591,0.782934638,0
-1.024043408,-1.818988318,2979880.134,2033535.591,0.787031452,0
-0.855191018,-2.240340012,2979880.134,2036535.591,0.856587666,0
-0.992586132,-1.496482924,2979880.134,2039535.591,0.783281049,0
-1.256104183,-0.804743918,2979880.134,2042535.591,0.781715596,0
-1.415811581,-0.80777482,2979880.134,2045535.591,0.781714535,0
-1.385805951,-1.22118116,2979880.134,2048535.591,0.781720408,0
-1.278852334,-1.586086209,2979880.134,2051535.591,0.781909671,0
-1.152571878,-1.985191873,2979880.134,2054535.591,0.787029828,0
-1.079525787,-1.838454113,2979880.134,2057535.591,0.786025908,0
-1.040447547,-1.949115364,2979880.134,2060535.591,0.791418023,40
-0.887647219,-1.965130228,2979880.134,2063535.591,0.809750219,66
-1.049231475,-1.14634834,2979880.134,2066535.591,0.781814148,49
-0.982629079,-1.595451069,2979880.134,2069535.591,0.784114634,0
-0.884948268,-1.884395273,2979880.134,2072535.591,0.801178439,0
-0.836808647,-1.862747715,2979880.134,2075535.591,0.807905325,0
-0.825019454,-1.71963718,2979880.134,2078535.591,0.798358713,0
-0.833537023,-1.587830108,2979880.134,2081535.591,0.790312141,0
-0.995089113,-0.40156858,2979880.134,2084535.591,0.781715407,0
-1.02885563,-1.122341263,2979880.134,2087535.591,0.781821736,0
-0.882621827,-1.782310095,2979880.134,2090535.591,0.795943986,0
-0.861253546,-1.717083219,2979880.134,2093535.591,0.794335274,0
-1.004742527,-0.742339472,2979880.134,2096535.591,0.781726464,0
-0.898431511,-1.422446047,2979880.134,2099535.591,0.78365812,0
-1.003937107,-0.620035087,2979880.134,2102535.591,0.781719043,0
-0.918387322,-1.266271677,2979880.134,2105535.591,0.782448842,0
-0.932835072,-0.827672884,2979880.134,2108535.591,0.781756427,0
-0.910542647,-0.818396921,2979880.134,2111535.591,0.781763774,0
-1.002004796,-0.018694909,2979880.134,2114535.591,0.781714371,0
-1.023755571,-0.38440496,2979880.134,2117535.591,0.78171505,0
-1.006086797,-0.441227683,2979880.134,2120535.591,0.781715672,0
-1.007549065,-0.313900435,2979880.134,2123535.591,0.78171491,0
-0.938661436,-0.782700882,2979880.134,2126535.591,0.781738507,0
-2.017999953,-0.390298402,2976880.134,1994535.591,0.781714286,0
-1.566770149,-1.587815152,2976880.134,1997535.591,0.781727389,0
